id_asignatura,Asignatura,Abreviatura
1,Precálculo,PreCal
2,Física experimental,FE
3,Dibujo en Ingeniería,DeI
4,Taller de instalaciones eléctricas,TdIE
5,Expresión oral y escrita,EOyE
6,Ecuaciones diferenciales,ED
7,Métodos numéricos,Mn
8,Dinámica,D
9,Tecnología de los materiales,TdlM
10,Circuitos I,CI
11,Electrónica,E
12,Máquinas eléctricas I,MEI
13,Transferencia de calor,TdC
14,Mecánica de materiales II,MdMI
15,Sistemas automatizados,SA
16,Análisis y diseño de mecanismos,AyDdM
17,Sistemas hidráulicos y neumáticos,SHyN
18,Modelado y control,MyC
19,Análisis de sistemas de potencia,AdSdP
20,Uso eficiente de la energía,UEdlE
21,Opt I,Opt. I
22,Opt. II,Opt. II
23,Ingeniería económica,IE
24,Liderazgo y misión de servicio,Lid.
25,Inglés I,Ing. I
26,Inglés III,Ing. III
27,Inglés V,Ing. V
28,Inglés VII,Ing. VII
29,Inglés IX,Ing. IX
30,Teoría de la probabilidad,TdlP
31,Matemáticas discretas,MD
32,Fundamentos de programación,FdP
33,Física,Fis
34,Epistemología computacional,EC
35,Programación funcional,PF
36,Estructura de datos,EdD
37,Interconexión de redes,IdR
38,Sistemas digitales embebidos,SDE
39,Interacción humano - computadora,IHC
40,Aprendizaje de máquina,AdM
41,Programación Web,PW
42,Bases de datos no relacionales,BdDNR
43,Escalamiento de redes,EdR
44,Seminario de proyectos I,SdPI
45,Innovación y emprendimiento,IyE
46,Programación para dispositivos móviles,PDM
47,Seguridad de redes,SdR
48,Sistemas operativos,SO
49,Seguridad de la información,SdI
50,Redes neuronales,RN
51,Proyectos de ingeniería I,PdII
52,Técnicas de comunicación oral y escrita,TdCOyE
53,Introducción a la electrónica,IalE
54,Programación icónica,PI
55,Medición en experimentos físicos,MdEF
56,Optimización con cálculo diferencial,OCD
57,Proyectos de ingeniería III,PI-III
58,Análisis crítico de la actualidad,ACdlA
59,Fundamentos de conmutación y enrutamiento,FCE
60,Electrónica de potencia,EP
61,Modelado de sistemas dinámicos,MSD
62,Circuitos eléctricos y electrónicos,CEE
63,Circuitos digitales,CD
64,Proyecto profesional I,PP-I
65,Emprendimiento,E1
66,Diseño de experimentos,DE
67,Instrumentación industrial,II
68,Fundamentos de comunicaciones móviles,FdCM
69,Aquitectura de microprocesadores,AdM1
70,Seminario de investigación I,SI-I
71,Telefonía IP,Tel IP
72,Controladores lógicos programables,CLP
73,Opt. III,Op. III
74,Opt. IV,Op. IV
75,Opt. V,Op. V
76,Opt. VI,Op. VI
77,Hora Común,HC
78,Precálculo,HP
79,Teoría de la probabilidad,HTdlp
80,Matemáticas discretas,HMd
81,Fundamentos de programación,HFdp
82,Física,HF
83,Epistemología computacional,HEc
84,Inglés I,HII
85,Métodos numéricos,HMn
86,Ecuaciones diferenciales,HEd
87,Programación funcional,HPf
88,Estructura de datos,HEdd
89,Interconexión de redes,HIdr
90,Sistemas digitales y embebidos,HSdye
91,Inglés III,HII1
92,Interacción humano-computadora,HIh
93,Aprendizaje de máquina,HAdm
94,Programación Web,HPW
95,Bases de datos no relacionales,HBddnr
96,Escalamiento de redes,HEdr
97,Sistemas operativos,HSo
98,Inglés V,HIV
99,Seminario de proyectos I,HSdpI
100,Innovación y emprendimiento,HIye
101,Programación para dispositivos móviles,HPpdm
102,Opt. II,HOI
103,Seguridad de redes,HSdr
104,Seguridad de la información,HSdli
105,Redes neuronales,HRn
106,Seminario de investigación I,HSdiI
107,Telefonía IP,HTI
108,Controladores lógicos programables,HClp
109,Opt. III,HOI1
110,Opt. IV,HOI2
111,Opt. V,HOV
112,Opt. VI,HOV1
113,Inglés VII,HIV1
114,Física experimental,HFe
115,Dibujo en ingeniería,HDei
116,Taller de instalaciones eléctricas,HTdie
117,Expresión oral y escrita,HEoye
118,Dinámica,HD
119,Tecnología de los materiales,HTdlm
120,Circuitos I,HCI
121,Electrónica,HE
122,Máquinas eléctricas I,HMeI
123,Transferencia de calor,HTdc
124,Mecánica de materiales II,HMdmI
125,Sistemas automatizados,HSa
126,Análisis y diseño de mecanismos,HAyddm
127,Sistemas hidráulicos y neumáticos,HShyn
128,Modelado y control,HMyc
129,Análisis de sistemas de potencia,HAysdp
130,Uso eficiente de la energía,HUedle
131,Optativa I,HOI3
132,Ingeniería económica,HIe
133,Liderazgo y misión de servicio,HLymds
134,Sistemas de distribución,HSdd
135,Administración de proyectos,HAdp
136,Legislación y financiamiento en materia energética,HLyfeme
137,Sistemas de distribución,Sdd
138,Administración de proyectos,Adp
139,Seminario de investigación II,HSdiI1
140,Legislación y financiamiento en materia energética,Lyfeme
141,Seminario de investigación II,SdiI
142,Opt. VI: Diseño de sistemas energéticos / Sistemas de manufactura avanzada,OVM/Ri
143,Orientación educativa,OE
144,Introducción a la electrónica,HIale
145,Diseño de experimentos,HDde
146,Instrumentación industrial,HIi
147,Estática y Dinámica,EyD
148,Programación Básica,PB
149,Taller de mecátronica,TdM
150,Redacción e investigación para ingeniería,ReIpI
151,Probabilidad y estadística,PyE
152,Álgebra lineal,ÁL
153,Circuitos eléctricos,CE
154,Mecánica de materiales,MdM
155,Electrónica analógica,EA
156,Legislación y normatividad,LyN
157,Teoría de control,TdC1
158,Robótica,R
159,Taller de emprendedores,TdE
160,Mecánica de Materiales,HMdM
161,Electrónica de Potencia,HEdP
162,Teoría de Control,HTdC
163,Circuitos Electromecánicos,HCE
164,Robótica,HR
165,Taller de Emprendedores,HTdE
166,Circuitos Electromecánicos,CE1
167,Inglés IX,HI IX
168,Arquitectura de microprocesadores,AM
169,Interconexión de redes,IR
170,Proyecto profesional,PP
171,Máquinas eléctricas,ME
172,Termofluidos,T
173,Diseño de elementos mecánicos,DdEM
174,Emprendimieno,HTIE
175,Control digital,CD1
176,Controlador lógico programable,CLP1
177,Introducción a la electrónica,IE1
