id_leccion,id_profesor,id_clase,id_asignatura,es_hti,grupo,duracion,sesiones_semana
1,11,6,52,0,La clase entera,Dos lecciones,1
2,11,6,52,0,La clase entera,Lección,1
3,8,6,25,0,La clase entera,Dos lecciones,1
4,47,12,57,0,La clase entera,Dos lecciones,1
5,23,12,26,0,La clase entera,Dos lecciones,1
6,23,12,26,0,La clase entera,Lección,1
7,36,18,65,0,La clase entera,Dos lecciones,1
8,36,18,65,0,La clase entera,Lección,1
9,8,18,27,0,La clase entera,Dos lecciones,1
10,8,23,28,0,La clase entera,Dos lecciones,1
11,8,23,28,0,La clase entera,Lección,1
12,59,4,1,0,La clase entera,Lección,1
13,64,4,31,0,La clase entera,Dos lecciones,2
14,8,4,25,0,La clase entera,Dos lecciones,1
15,8,4,25,0,La clase entera,Lección,1
16,35,5,1,0,La clase entera,Lección,1
17,59,5,31,0,La clase entera,Dos lecciones,2
18,49,5,25,0,La clase entera,Lección,1
19,49,5,25,0,La clase entera,Dos lecciones,1
20,64,10,36,0,La clase entera,Dos lecciones,2
21,9,10,38,0,La clase entera,Dos lecciones,2
22,8,10,26,0,La clase entera,Dos lecciones,1
23,8,10,26,0,La clase entera,Lección,1
24,9,11,38,0,La clase entera,Dos lecciones,2
25,59,11,6,0,La clase entera,Dos lecciones,2
26,49,11,26,0,La clase entera,Dos lecciones,1
27,49,11,26,0,La clase entera,Lección,1
28,13,16,69,0,La clase entera,Dos lecciones,2
29,13,16,69,0,La clase entera,Lección,1
30,44,17,69,0,La clase entera,Lección,1
31,28,17,48,0,La clase entera,Dos lecciones,2
32,21,21,44,0,La clase entera,Lección,1
33,7,21,45,0,La clase entera,Dos lecciones,2
34,21,22,44,0,La clase entera,Lección,1
35,7,22,45,0,La clase entera,Dos lecciones,2
36,3,1,5,0,La clase entera,Dos lecciones,1
37,3,1,5,0,La clase entera,Lección,1
38,8,1,25,0,La clase entera,Dos lecciones,1
39,8,1,25,0,La clase entera,Lección,1
40,61,2,4,0,La clase entera,Dos lecciones,1
41,3,2,5,0,La clase entera,Dos lecciones,1
42,3,2,5,0,La clase entera,Lección,1
43,49,2,25,0,La clase entera,Dos lecciones,1
44,49,2,25,0,La clase entera,Lección,1
45,11,3,5,0,La clase entera,Lección,1
46,11,3,5,0,La clase entera,Dos lecciones,1
47,23,3,25,0,La clase entera,Lección,1
48,23,3,25,0,La clase entera,Dos lecciones,1
49,8,7,26,0,La clase entera,Dos lecciones,1
50,8,7,26,0,La clase entera,Lección,1
51,33,13,16,0,La clase entera,Dos lecciones,2
52,8,13,27,0,La clase entera,Dos lecciones,1
53,8,13,27,0,La clase entera,Lección,1
54,33,14,16,0,La clase entera,Dos lecciones,2
55,33,15,16,0,La clase entera,Dos lecciones,2
56,70,20,19,0,La clase entera,Lección,1
57,58,24,137,0,La clase entera,Dos lecciones,2
58,58,25,137,0,La clase entera,Dos lecciones,2
59,61,14,12,0,La clase entera,Lección,1
60,24,19,177,0,La clase entera,Dos lecciones,1
61,24,19,177,0,La clase entera,Lección,1
62,24,20,177,0,La clase entera,Dos lecciones,1
63,24,20,177,0,La clase entera,Lección,1
64,27,19,24,0,La clase entera,Dos lecciones,1
65,27,19,24,0,La clase entera,Lección,1
66,27,20,24,0,La clase entera,Lección,1
67,27,20,24,0,La clase entera,Dos lecciones,1
68,67,1,143,0,La clase entera,Lección,1
69,67,4,143,0,La clase entera,Lección,1
70,67,6,143,0,La clase entera,Lección,1
71,67,5,143,0,La clase entera,Lección,1
72,67,2,143,0,La clase entera,Lección,1
73,67,3,143,0,La clase entera,Lección,1
74,17,1,114,0,La clase entera,Lección,1
75,3,1,117,0,La clase entera,Lección,1
76,8,1,84,0,La clase entera,Lección,1
77,61,2,116,0,La clase entera,Lección,1
78,17,2,114,0,La clase entera,Lección,1
79,3,2,117,0,La clase entera,Lección,1
80,62,2,78,0,La clase entera,Lección,1
81,49,2,84,0,La clase entera,Lección,1
82,18,3,115,0,La clase entera,Lección,1
83,11,3,117,0,La clase entera,Lección,1
84,23,3,84,0,La clase entera,Lección,1
85,1,7,85,0,La clase entera,Lección,1
86,73,7,118,0,La clase entera,Lección,1
87,10,7,119,0,La clase entera,Lección,1
88,32,7,120,0,La clase entera,Lección,1
89,8,7,84,0,La clase entera,Lección,1
90,10,8,119,0,La clase entera,Lección,1
91,1,8,85,0,La clase entera,Lección,1
92,10,9,119,0,La clase entera,Lección,1
93,24,8,120,0,La clase entera,Lección,1
94,9,9,121,0,La clase entera,Lección,1
95,20,13,123,0,La clase entera,Lección,1
96,54,13,125,0,La clase entera,Lección,1
97,33,13,126,0,La clase entera,Lección,1
98,8,13,98,0,La clase entera,Lección,1
99,20,14,123,0,La clase entera,Lección,1
100,54,14,125,0,La clase entera,Lección,1
101,33,14,126,0,La clase entera,Lección,1
102,33,15,126,0,La clase entera,Lección,1
103,61,14,122,0,La clase entera,Lección,1
104,24,19,132,0,La clase entera,Lección,1
105,27,19,133,0,La clase entera,Lección,1
106,27,20,133,0,La clase entera,Lección,1
107,24,20,132,0,La clase entera,Lección,1
108,70,20,129,0,La clase entera,Lección,1
109,58,24,134,0,La clase entera,Lección,1
110,58,25,134,0,La clase entera,Lección,1
111,59,4,78,0,La clase entera,Lección,1
112,64,4,80,0,La clase entera,Lección,1
113,41,4,81,0,La clase entera,Lección,1
114,8,4,84,0,La clase entera,Lección,1
115,35,5,78,0,La clase entera,Lección,1
116,44,5,79,0,La clase entera,Lección,1
117,59,5,80,0,La clase entera,Lección,1
118,49,5,84,0,La clase entera,Lección,1
119,41,10,87,0,La clase entera,Lección,1
120,64,10,88,0,La clase entera,Lección,1
121,19,10,89,0,La clase entera,Lección,1
122,9,10,90,0,La clase entera,Lección,1
123,8,10,84,0,La clase entera,Lección,1
124,9,11,90,0,La clase entera,Lección,1
125,19,11,89,0,La clase entera,Lección,1
126,59,11,86,0,La clase entera,Lección,1
127,44,11,88,0,La clase entera,Lección,1
128,49,11,84,0,La clase entera,Lección,1
129,21,21,99,0,La clase entera,Lección,1
130,7,21,100,0,La clase entera,Lección,1
131,71,21,101,0,La clase entera,Lección,1
132,21,22,99,0,La clase entera,Lección,1
133,71,22,101,0,La clase entera,Lección,1
134,7,22,100,0,La clase entera,Lección,1
135,23,12,84,0,La clase entera,Lección,1
136,63,23,,1,La clase entera,Lección,1
137,8,23,98,0,La clase entera,Lección,1
138,26,16,92,0,La clase entera,Lección,1
139,13,16,93,0,La clase entera,Lección,1
140,12,16,94,0,La clase entera,Lección,1
141,21,16,95,0,La clase entera,Lección,1
142,12,16,96,0,La clase entera,Lección,1
143,8,16,98,0,La clase entera,Lección,1
144,26,17,92,0,La clase entera,Lección,1
145,8,17,98,0,La clase entera,Lección,1
146,12,17,96,0,La clase entera,Lección,1
147,21,17,95,0,La clase entera,Lección,1
148,44,17,93,0,La clase entera,Lección,1
149,28,17,97,0,La clase entera,Lección,1
150,17,1,2,0,La clase entera,Dos lecciones,1
151,8,16,27,0,La clase entera,Dos lecciones,1
152,8,16,27,0,La clase entera,Lección,1
153,8,17,27,0,La clase entera,Lección,1
154,8,17,27,0,La clase entera,Dos lecciones,1
155,43,7,121,0,La clase entera,Lección,1
156,50,8,121,0,La clase entera,Lección,1
157,4,9,120,0,La clase entera,Lección,1
158,52,25,138,0,La clase entera,Dos lecciones,1
159,52,25,138,0,La clase entera,Lección,1
160,52,25,135,0,La clase entera,Lección,1
161,14,4,83,0,La clase entera,Lección,1
162,72,4,79,0,La clase entera,Lección,1
163,72,4,30,0,La clase entera,Dos lecciones,2
164,59,5,34,0,La clase entera,Dos lecciones,2
165,59,5,83,0,La clase entera,Lección,1
166,72,10,86,0,La clase entera,Lección,1
167,72,10,6,0,La clase entera,Dos lecciones,2
168,28,16,48,0,La clase entera,Dos lecciones,2
169,28,16,97,0,La clase entera,Lección,1
170,48,21,105,0,La clase entera,Lección,1
171,48,21,50,0,La clase entera,Dos lecciones,2
172,71,22,104,0,La clase entera,Lección,1
173,44,22,105,0,La clase entera,Lección,1
174,47,6,51,0,La clase entera,Dos lecciones,1
175,51,12,58,0,La clase entera,Lección,1
176,51,12,58,0,La clase entera,Dos lecciones,1
177,37,23,108,0,La clase entera,Lección,1
178,63,23,71,0,La clase entera,Dos lecciones,2
179,31,26,147,0,La clase entera,Dos lecciones,3
180,14,26,148,0,La clase entera,Dos lecciones,3
181,30,26,25,0,La clase entera,Dos lecciones,2
182,62,27,1,0,La clase entera,Dos lecciones,3
183,14,27,148,0,La clase entera,Dos lecciones,3
184,31,27,147,0,La clase entera,Dos lecciones,3
185,49,27,25,0,La clase entera,Dos lecciones,2
186,31,28,151,0,La clase entera,Dos lecciones,2
187,68,28,155,0,La clase entera,Lección,1
188,68,28,155,0,La clase entera,Dos lecciones,2
189,38,28,166,0,La clase entera,Dos lecciones,2
190,40,28,154,0,La clase entera,Lección,1
191,40,28,154,0,La clase entera,Dos lecciones,2
192,57,28,156,0,La clase entera,Lección,1
193,31,29,151,0,La clase entera,Dos lecciones,2
194,68,29,155,0,La clase entera,Lección,1
195,68,29,155,0,La clase entera,Dos lecciones,2
196,38,29,166,0,La clase entera,Dos lecciones,2
197,40,29,154,0,La clase entera,Lección,1
198,40,29,154,0,La clase entera,Dos lecciones,2
199,65,30,157,0,La clase entera,Dos lecciones,2
200,65,31,157,0,La clase entera,Dos lecciones,2
201,26,34,106,0,La clase entera,Dos lecciones,1
202,18,3,3,0,La clase entera,Dos lecciones,1
203,57,28,156,0,La clase entera,Dos lecciones,1
204,38,6,55,0,La clase entera,Dos lecciones,1
205,38,6,55,0,La clase entera,Dos lecciones,1
206,18,6,56,0,La clase entera,Dos lecciones,1
207,18,6,56,0,La clase entera,Dos lecciones,1
208,37,12,59,0,La clase entera,Dos lecciones,1
209,38,12,61,0,La clase entera,Dos lecciones,1
210,38,12,61,0,La clase entera,Dos lecciones,1
211,43,12,62,0,La clase entera,Dos lecciones,1
212,43,12,62,0,La clase entera,Dos lecciones,1
213,2,18,68,0,La clase entera,Dos lecciones,1
214,2,18,68,0,La clase entera,Dos lecciones,1
215,37,23,176,0,La clase entera,Dos lecciones,1
216,37,23,176,0,La clase entera,Dos lecciones,1
217,41,4,32,0,La clase entera,Dos lecciones,1
218,41,10,35,0,La clase entera,Dos lecciones,1
219,12,16,41,0,La clase entera,Dos lecciones,1
220,26,16,39,0,La clase entera,Dos lecciones,1
221,21,17,42,0,La clase entera,Dos lecciones,1
222,21,16,42,0,La clase entera,Dos lecciones,1
223,17,1,2,0,La clase entera,Lección,1
224,61,2,4,0,La clase entera,Lección,1
225,61,2,4,0,La clase entera,Dos lecciones,1
226,17,2,2,0,La clase entera,Dos lecciones,1
227,17,2,2,0,La clase entera,Lección,1
228,17,2,2,0,La clase entera,Dos lecciones,1
229,18,3,3,0,La clase entera,Lección,1
230,1,7,7,0,La clase entera,Dos lecciones,1
231,32,7,10,0,La clase entera,Dos lecciones,1
232,43,7,65,0,La clase entera,Dos lecciones,1
233,1,8,7,0,La clase entera,Dos lecciones,1
234,1,8,7,0,La clase entera,Dos lecciones,1
235,1,7,7,0,La clase entera,Dos lecciones,1
236,24,8,10,0,La clase entera,Dos lecciones,1
237,24,8,10,0,La clase entera,Dos lecciones,1
238,50,8,65,0,La clase entera,Dos lecciones,1
239,1,9,7,0,La clase entera,Dos lecciones,1
240,1,9,7,0,La clase entera,Dos lecciones,1
241,9,9,65,0,La clase entera,Dos lecciones,1
242,4,9,10,0,La clase entera,Dos lecciones,1
243,54,13,15,0,La clase entera,Dos lecciones,1
244,61,14,12,0,La clase entera,Dos lecciones,1
245,54,14,15,0,La clase entera,Dos lecciones,1
246,70,20,19,0,La clase entera,Dos lecciones,1
247,14,4,34,0,La clase entera,Dos lecciones,1
248,14,4,34,0,La clase entera,Dos lecciones,1
249,40,2,3,0,La clase entera,Dos lecciones,1
