id_aula,Título,Abreviatura
1,A1,A1
2,B1,B1
3,B2,B2
4,B3,B3
5,B4,B4
6,B5,B5
7,B6,B6
8,B7,B7
9,C1,C1
10,C2,C2
11,C3,C3
12,C4,C4
13,C5,C5
14,D2,D2
15,D4,D4
16,D6,D6
17,D8,D8
18,D9,D9
19,D11,D11
20,D13,D13
21,P1,P1
22,P2,P2
23,P3,P3
24,P4,P4
25,P5,P5
26,Lab. Física,LFIS
27,Lab. Electromagnetismo,LETM
28,Taller de Máquinas-Herramientas,TMH
29,Lab. Electrónica,LELECTRONIC
30,Lab. Telefonía,LT
31,Lab. Robótica,LROBOT
32,Lab. Mecánica,LMEC
33,Centro de Cómputo I,CC I
34,Centro de Cómputo II,CC II
35,Lab. Matemáticas,LMAT
36,Lab. de Cómputo,LC
37,Lab. Microelectrónica,LMICRO
38,Lab. Macatrónica,LMTC
